season,team_api_id,time,total_gols_scored,total_partidas,media_gols_partida
2009/2010,9908,FC Utrecht,39,272,0.14338235294117646
2012/2013,10199,FC Luzern,41,286,0.14335664335664336
2015/2016,9803,Roda JC Kerkrade,34,238,0.14285714285714285
2015/2016,9810,Eintracht Frankfurt,34,238,0.14285714285714285
2014/2015,8659,West Bromwich Albion,38,266,0.14285714285714285
2008/2009,9875,Napoli,43,301,0.14285714285714285
2015/2016,8540,Palermo,38,266,0.14285714285714285
2014/2015,8600,Udinese,43,302,0.1423841059602649
2015/2016,8533,Chievo Verona,43,303,0.1419141914191419
2014/2015,8639,LOSC Lille,43,304,0.14144736842105263
2012/2013,8558,RCD Espanyol,43,304,0.14144736842105263
2010/2011,9827,Girondins de Bordeaux,43,304,0.14144736842105263
