player_api_id,player_name,altura,peso_incial,peso_final,primeira_data,primeiro_overall,ultima_data,ultimo_overall,idade_inicial,idade_final,evolucao,season_first,season_last,season
35906,Tomasz Kuszczak,190.5,185,185,2007-02-22,76.0,2016-03-17,71.0,24,33,-4.0,2006/2007,2015/2016,2015/2016
35954,Jonathan Tuffey,185.42,185,185,2007-02-22,46.0,2013-03-22,60.0,20,26,14.0,2006/2007,2012/2013,2012/2013
35955,Scott Boyd,187.96,165,165,2007-02-22,61.0,2016-03-10,61.0,20,29,0.0,2006/2007,2015/2016,2015/2016
35968,Steven Anderson,180.34,159,159,2007-02-22,55.0,2016-03-10,67.0,21,30,12.0,2006/2007,2015/2016,2015/2016
35972,Scott Robertson,182.88,159,159,2007-02-22,63.0,2014-03-14,61.0,21,28,-2.0,2006/2007,2013/2014,2013/2014
35983,David Carney,180.34,154,154,2007-02-22,63.0,2016-03-10,64.0,23,32,1.0,2006/2007,2015/2016,2015/2016
35988,Christian Lell,182.88,176,176,2007-02-22,67.0,2014-01-17,72.0,22,29,5.0,2006/2007,2013/2014,2013/2014
35989,Clemens Fritz,182.88,179,179,2007-02-22,77.0,2016-05-05,74.0,26,35,-5.0,2006/2007,2015/2016,2015/2016
35990,Mohamed Zidan,172.72,157,157,2007-02-22,77.0,2012-02-22,75.0,25,30,-5.0,2006/2007,2011/2012,2011/2012
35991,Christian Vander,195.58,198,198,2007-02-22,60.0,2013-04-05,64.0,26,32,4.0,2006/2007,2012/2013,2012/2013
35996,Boubacar Sanogo,187.96,181,181,2007-02-22,77.0,2014-02-21,69.0,24,31,-6.0,2006/2007,2013/2014,2013/2014
35997,Halil Altintop,185.42,165,165,2007-02-22,81.0,2016-01-07,75.0,24,33,-4.0,2006/2007,2015/2016,2015/2016
35998,Matthias Abel,187.96,181,181,2007-02-22,72.0,2012-08-31,69.0,25,31,-1.0,2006/2007,2012/2013,2012/2013
36000,Niko Bungert,187.96,165,165,2007-02-22,60.0,2016-02-25,76.0,20,29,16.0,2006/2007,2015/2016,2015/2016
36005,Karim Haggui,190.5,190,190,2007-02-22,71.0,2016-04-28,71.0,23,32,0.0,2006/2007,2015/2016,2015/2016
36007,Thorben Marx,182.88,183,183,2007-02-22,73.0,2015-02-20,69.0,25,33,-5.0,2006/2007,2014/2015,2014/2015
36008,Oliver Schroeder,182.88,192,192,2007-02-22,69.0,2015-05-22,63.0,26,34,-8.0,2006/2007,2014/2015,2014/2015
36009,Vaclav Sverkos,185.42,170,170,2007-02-22,74.0,2010-08-30,74.0,23,26,0.0,2006/2007,2010/2011,2010/2011
36010,Pascal Bieler,180.34,170,170,2007-02-22,61.0,2011-02-22,67.0,20,24,6.0,2006/2007,2010/2011,2010/2011
36011,Sejad Salihovic,182.88,174,174,2007-02-22,66.0,2015-05-22,76.0,22,30,10.0,2006/2007,2014/2015,2014/2015
36012,Steven Pienaar,170.18,146,146,2007-02-22,76.0,2015-09-21,77.0,24,33,1.0,2006/2007,2015/2016,2015/2016
36013,Dennis Gentenaar,180.34,172,172,2007-02-22,73.0,2014-05-02,65.0,31,38,-8.0,2006/2007,2013/2014,2013/2014
36016,Cedric van der Gun,175.26,154,154,2007-02-22,71.0,2013-09-20,67.0,27,34,-2.0,2006/2007,2013/2014,2013/2014
36018,Gerald Sibon,198.12,201,201,2007-02-22,65.0,2012-02-22,66.0,32,37,-1.0,2006/2007,2011/2012,2011/2012
36025,Marco Streller,195.58,183,183,2007-02-22,75.0,2015-04-24,71.0,25,33,-5.0,2006/2007,2014/2015,2014/2015
36029,Christopher Heimeroth,193.04,201,201,2007-02-22,71.0,2016-04-14,67.0,25,34,-2.0,2006/2007,2015/2016,2015/2016
36031,Thomas Broich,182.88,163,163,2007-02-22,76.0,2016-04-14,71.0,26,35,-3.0,2006/2007,2015/2016,2015/2016
36034,Du-Ri Cha,180.34,174,174,2007-02-22,70.0,2015-09-21,72.0,26,35,3.0,2006/2007,2015/2016,2015/2016
36035,Markus Feulner,182.88,181,181,2007-02-22,76.0,2016-04-28,73.0,25,34,-1.0,2006/2007,2015/2016,2015/2016
36039,Ralph Gunesch,190.5,185,185,2007-02-22,67.0,2014-10-24,66.0,23,31,-1.0,2006/2007,2014/2015,2014/2015
